title,image_url,video_url,instructions,teaching_points,position,starting_zone,ending_zone,situation,hockey_skills,complexity
U9 - SMALL AREA GAME - 3 X 1 ON 1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u9-3-station-small-area-game-3-x-1-on-1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Three players line up across from each other in a designated small area; Place 3 pucks across the middle; On the whistle, players race for the puck; 3 games of 1 on 1 are played in designated small area",Compete for the puck; Puck protection skills; Gain puck possession and control,[],Unknown,Unknown,['Small Area Game'],"['Skating', 'Stickhandling', 'Competing', 'Puck Protection']",Intermediate
U9 - 3 STATION SKILLS #3,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u9-3-station-skills-3.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Split the ice up into 3 stations. Split the offensive zone into two stations and create one station in the neutral zone.,,[],Unknown,Unknown,[],[],Intermediate
U9 - 3 STATION SKILLS – PASSING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u9-3-station-skills-passing.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up across from a partner in one line; Starting with stationary, players pass the puck back and forth; For a progression, add moving and/or a quick turn upon receiving the pass",Ensure proper technique when giving and receiving the pass,[],Unknown,Unknown,[],['Passing'],Easy
U9 - 3 STATION SKILLS – STOPPING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u9-3-station-skills-stopping.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Set up 4 pylons in the station for players to skate to and stop as shown; Players start in the corner and skate to the first pylon and complete a full stop before skating to the next pylon; The players will make 4 stops before returning to the corner; For a progression, add the following:; Drop knee; One foot stop; Carry a puck; Quick turn or escape",Bent knees; Feet together,[],Unknown,Unknown,[],['Skating'],Easy
U9 - 3 STATION SKILLS - BWD SKATING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u9-3-station-skills-bwd-skating.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Start facing backwards and skate down the middle of the station to the boards and back along the rink dividers; Perform each skating skill as shown,Sit back in hockey stance; One hand on the stick,[],Unknown,Unknown,[],['Skating'],Easy
INDIVIDUAL TACTICS – CIRCLE 1 ON 1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/individual_tactics_circle_1_on_1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place 2 players in a circle, one with a puck one without.; On coaches’ signal, player with puck tries to keep control of
    the puck by using body as a shield and moving side to side to
    shake the defender.; Defensive player tries to contain the puck carrier, using body
    position and keeping the stick on puck",Keep the feet moving; Protect puck using body and side to side puck movement; Stick on puck by defensive player,[],Unknown,Unknown,[],"['Skating', 'Stickhandling', 'Positioning']",Intermediate
SKATING - WARM-UP 01 - FORWARDS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_warm_up_forwards_01.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Stride and Bend; Jump Stride; Scissors - Forward/Backward/Reverse; Crossovers; Knee Drops,,['Forward'],Unknown,Unknown,[],['Skating'],Intermediate
SKATING - WARM-UP 02 - FORWARDS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_warm_up_forwards_02.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines on the hashmarks; Both lines can go at the same time, or each line can alternate, skating down the middle to the far end and then back along the boards.; Perform each skating skill as shown.",Technique is important in this warm-up to give the players lots of repetition on technical aspects of skating.,['Forward'],Unknown,Unknown,[],['Skating'],Easy
SKATING/PUCK CONTROL - PUCK ON FOREHAND PIVOTS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_puck_control_puck_on_forehand_pivots.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players always face the middle pylon; Keep puck on forehand, except on escape moves; Good shooting principles at blueline",Keep the puck on forehand; Keep speed in both backward-forward and forward-backward pivots; Try to keep crossing of your feet to a minimum,[],Unknown,Unknown,[],"['Skating', 'Stickhandling']",Intermediate
SKATING - PUCK CONTROL - PUCK PROTECTION,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_puck_control_puck_protection.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Place two sticks on the ice leaving a space between them as a lane to skate through.; Player skates in a figure 8 pattern protecting the puck – take bottom hand off stick when doing tight turn around end of each stick,"Stay low, come out of turn tight to stick; Take bottom hand off to prevent stick check",[],Unknown,Unknown,[],"['Skating', 'Stickhandling']",Intermediate
CHECKING SKILLS – ANGLING – CORNER ANGLING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_angling_corner_angling.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Pucks and players in faceoff circle.; Coach dumps puck into corner, player on inside skates
    towards corner and retrieves puck.; Player on outside, must take proper path and angle to force
    the puck carrier up the boards so the puck can be turned
    over; Must match speed of offensive player, stick on stick ( stick on
    puck ) and be in a position so the puck carrier cannot turn
    back the other way","Control Skate, take proper pathway; Stick on Puck, force puck carrier into poor position so puck
    can be taken away",[],Unknown,Unknown,[],"['Skating', 'Angling']",Intermediate
"SMALL AREA GAME – COACHES’ CHOICE – 1 ON 1, 2 ON 2, 3 ON 3",https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/small_area_game_coaches_choice_1on1_2on2_3on3.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Separate colors on the dots outside the blue line; Coaches’ choice – calls out 1 on 1, 2 on 2 or 3 on 3.; Players play until whistle and then next group jumps in.; Jump to offence on turnover","Compete, short shifts, high intensity; Coach looks for good matchups",[],Unknown,Unknown,['Small Area Game'],[],Intermediate
SMALL AREA GAME - PASS FOR POINTS 2-2,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/small_area_game_pass_for_points_2_on_2.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players score a point for their team if they make a tape to
    tape pass between one of the 3 pylon “gates”.; If a puck goes outside the zone, coach dumps in a new one; Coach will yell “puck” if a new puck is in play. Whistle changes
    players and the puck must be left where it is by players
    going off; Play the game to 9 or whatever time frame fits","Great game to teach both offensive support and defensive
    coverage; Offensive players need to read, react, get open and communicate.
    Show your stick, make eye contact and call for the
    pass; Defensive players need to identify their player to cover,
    communicate and be ready to “switch” coverage. Sticks on
    ice, close gaps and play as hard on defense as offense.",[],Unknown,Unknown,['Small Area Game'],"['Passing', 'Communication']",Intermediate
SKATING - WARM-UP 01 - BACKWARDS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_warm_up_backwards_01.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines on the hashmarks; Both lines can go at the same time, or each line can alternate, skating down the middle to the far end and back along the boards.; Perform each backward skating skill as shown.",Technique is important in this warm-up to give the players lots of repetition on technical aspects of skating.,[],All Zones,All Zones,[],['Skating'],Easy
SKATING - WARM-UP 02 - BACKWARDS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_warm_up_backwards_02.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines on the hashmarks; Both lines can go at the same time, or each line can alternate, skating down the middle to the far end and back along the boards.; Perform each backward skating skill as shown.",Technique is important in this warm-up to give the players lots of repetition on technical aspects of skating.,[],All Zones,All Zones,[],['Skating'],Easy
SKATING - SKATING AGILITY WARM-UP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_skating_agility_warm_up.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players perform Crossover to  “slide stops” forwards and backwards; Skate in a zig zag pattern through the middle lane,Maintain a deep knee bend; Keep balance throughout “slide stops”; Work on quick feet,[],All Zones,All Zones,[],['Skating'],Intermediate
PUCK CONTROL - WARM-UP 01,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_warm_up_01.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines on the hashmarks; Both lines can go at the same time, or each line can alternate, skating down the middle to the far end and back along the boards.; Perform each skill as shown.",Technique is important in this warm-up set up have players try to get as many reps of each skill as possible down the ice; Encourage quick hands and lots of range of motion,[],Neutral Zone,Neutral Zone,[],"['Skating', 'Stickhandling']",Easy
SKATING - AGILITY - 5 PUCK AGILITY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_agility_5_puck_agility.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place 5 pucks in circle as shown.; Player must skate around each of the outside pucks, and always come back to the middle before skating around one of the outside pucks again.; Toes always pointing forward during transitions; Add puck for progression","Quick feet, stay low for balance; Efficient movements ie try to do only 1 crossover to get back to middle",[],Unknown,Unknown,[],['Skating'],Intermediate
SKATING - AGILITY NETS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_agility_nets.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place a net in the Neutral Zone or anywhere on the ice to use as a station.; Players perform skating techniques to work on quickness, agility and creativity.; Add a second player to work on heads up play or to act as a defender so players are working on offence and defence.",,[],Neutral Zone,Neutral Zone,[],['Skating'],Intermediate
SKATING - AGILITY - PUCK PROTECTION,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_agility_puck_protection.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Place two sticks on the ice leaving a space between them as a lane to skate through.; Player skates in a figure 8 pattern protecting the puck – take bottom hand off stick when doing tight turn around end of each stick,"Stay low, come out of turn tight to stick,; Take bottom hand off to prevent stick check",[],Unknown,Unknown,[],"['Skating', 'Stickhandling']",Intermediate
SKATING - CIRCLE SKATING - BACKWARDS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_circle_skating_backwards.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner; Skate around circle backwards; Crossunder; Crossover reach, grab ice; Inside pivot, exit with 1 crossover",Outside foot must stay on ice; Inside foot ( push leg ) stays on ice as much as possible; Outside edge of inside foot,[],Unknown,Unknown,[],['Skating'],Intermediate
SKATING - DEFENCE AGILITY ESCAPES,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_defence_agility_escapes.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players do 3 skills: transition, escape and slide stop / step-up; Toes up ice, transition in front of the stick; Player then does an escape move; Player then slide stops, steps up and makes the pass; Good shooting principles at blue line","Quick feet, the faster the better; Defensemen should bend their knees and keep good balance; Get the puck on forehand as soon as possible",['Defence'],Unknown,Unknown,"['Transition', 'Defensive Play']","['Skating', 'Stickhandling']",Intermediate
SKATING - DEFENCE AGILITY TRANSITION,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_defence_agility_transition.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Agility “slide stops” from forward to backward and backward to forward; Keep toes up ice and pivot in front of each stick; Good shooting principles on blue line,Keep your speed; Keep shoulders square and toes up ice; Get the puck on your forehand as soon as possible; Work on quick feet,['Defence'],All Zones,All Zones,['Transition'],['Skating'],Intermediate
SKATING - DEFENCE SKATING ESCAPES,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_defence_skating_escapes.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Player line up facing each other inside blue line; Defensive player starts skating backwards trying to elude forward who acts as forechecker.  Quick, deceptive moves to try and lose the forechecker.  Start with no puck.; Forechecker tries to contain, angle and react, and use stick position to steer defenseman.; Add puck, defender must skate out of zone, If Offensive player gets puck then try to score","Quick Feet, deception, agility; Both players need to read and react; Turn into 1 on 1 for intensity and competition",['Defence'],Defensive Zone,Defensive Zone,"['Forecheck', 'Defensive Play', 'Small Area Game']","['Skating', 'Positioning', 'Angling', 'Forecheck']",Intermediate
SKATING - DEFENCE TRANSITION,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_defence_transition.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner and skate towards blue line.; Turn toes and then transition backward, stop and then go forward again; Turn toes, and then unweight to get heels around – minimize crossovers prior to stopping and then skating forward.",Turn both ways; Toes first and heels first; Accelerate out of slide stop,['Defence'],Unknown,Unknown,['Transition'],['Skating'],Intermediate
SKATING - DEFENSIVE ZONE STRAIGHT LINE SKATING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_dz_straight_line_skating.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Player starts on dot and skates out and poke checks a puck; Recover to the middle and poke check all 4 pucks and recover to the dot,Straight line skating/ stops and starts when playing defense; Poke check pucks and recover back to middle in as straight a line as possible; Keep square to pucks; Keep head and shoulder over skates; do not lunge at the puck,[],Defensive Zone,Defensive Zone,[],['Skating'],Intermediate
SKATING - FORWARD STRIDE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_forward_stride.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players skate straight line focusing on technique,Head up; Full stride through to toe; Drive arms; Stick out in front,['Forward'],Unknown,Unknown,[],['Skating'],Easy
SKATING - NEUTRAL ZONE AGILITY 01,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_neutral_zone_agility.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players execute a “slide stop” at each pylon; skate to next pylon slide stop and back to first pylon; Players will transition at second pylon and execute an escape at first pylon. Repeat at pylon 4 and 3; Players skate backwards and execute an escape at each pylon alternating between forward and backward,Slide stops need quick feet and maintaining speed on change of direction; Players need to have good knee bend on escapes. Turn head and shoulders first; Keep your speed,[],Neutral Zone,Neutral Zone,['Transition'],['Skating'],Intermediate
SKATING - NEUTRAL ZONE AGILITY 02,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_nz_agility_02.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start on blue line in neutral zone.; Skate patterns as shown working on agility, balance and foot speed.; Controlled repetition to perform skating skills.",Change up pattern and go both ways to ensure repetition in turning and transitioning both ways.,[],Neutral Zone,Neutral Zone,[],['Skating'],Intermediate
SKATING - QUICK FEET CROSSOVERS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_quick_feet_crossovers.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner; Skate to first pylon, turn towards boards.  Stop at boards, and accelerate out with 2 – 3 quick crossovers to next pylon and repeat; Repeat with toes facing up ice entire time, grab ice and reach inside to accelerate out turn from backwards to forwards.; Repeat with pucks.","Toes around, accelerate out; Toes up ice as much as possible",[],Unknown,Unknown,[],['Skating'],Intermediate
SKATING - SKATING CIRCLES,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_skating_circles.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players start in line in the corner.; Perform skating skills around both circles to ensure skills are done equally both ways.; Crossunders / C-Cuts / Quick feet hi lo’s / Heel to heel back foot push / Heel to heel open up / Pivot inside with 1 crossover,Make sure technique is done correctly before speed.  Repeat each skill as many times as necessary until players get the footwork right,[],Unknown,Unknown,[],['Skating'],Intermediate
SKATING - TRANSITION FOOTWORK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_transition_footwork.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Start by placing two pylons in a line.; Player starts at bottom pylon, skates forward to top pylon, pivots, skates backward to opposite side of the bottom pylon, pivots and skates forward on same side to top pylon, pivots, skates backwards to start.; Progression – Add puck","Quick feet, acceleration into and out of the pivot, maintain speed",[],Unknown,Unknown,['Transition'],['Skating'],Intermediate
SKATING - TRANSITION FOOTWORK RACES,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_transition_footwork_races.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Start by placing two pylons in a line.; Players start at bottom pylon, skates forward to top pylon, pivots, skates backward to opposite side of the bottom pylon, pivots and skates forward on same side to top pylon, pivots, skates backwards to start.; Progression – Add puck",,[],Unknown,Unknown,['Transition'],['Skating'],Intermediate
SKATING - TRANSITION RACES,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_transition_races.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Start with 2 lines each with two pylons in a vertical line.; Players start at bottom pylon, on coach’s signal the player’s race to top pylon, pivot and skate backwards to bottom pylon.; Repeat by pivoting the opposite way the next time.","Efficient turns, blow as little snow as possible; Quick feet",[],Unknown,Unknown,['Transition'],['Skating'],Intermediate
SKATING - TRANSITION SKATING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_transition_skating.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Place 4 pylons around a circle or anywhere on the ice; Players start at bottom of circle and skate forward to top pylon - pivot  backwards to lower pylon – pivot forward to top pylon on other side; pivot backwards to lower pylon – pivot forwards to top of circle stop and skate forwards back to starting position.; Add a puck for a progression,Quick feet; Maintain speed coming out of the pivot,[],Unknown,Unknown,[],['Skating'],Intermediate
SKATING - HEEL TO HEEL,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_heel_to_heel.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place two sticks on the ice, player skates with heels facing each other in circular pattern around sticks - go both ways; Add second player to act as chaser – turn into a race, or tag; Quick feet, change directions","Take your stick with you, lean forward and open knees; Find balance point, turn hips, and unweight to change feet",[],Unknown,Unknown,[],['Skating'],Easy
SKATING - DEFENCE TRANSITION SKATING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_defence_transition_skating.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner and skate towards blue line.; Turn toes and then transition backward, stop and then go forward again; Turn toes, and then unweight to get heels around – minimize crossovers prior to stopping and then skating forward.",Turn both ways; Toes first and heels first; Accelerate out of slide stop,['Defence'],Unknown,Unknown,['Transition'],['Skating'],Intermediate
SKATING - KNEE DROPS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_knee_drops.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Player starts in circle down on one knee down; Alternate raising each leg, while other knee touches ice while stickhandling; Gain momentum and rhythm – drive knee up and forward when raising it. Try not touch knee to ice when lowering.; Eyes up, quick hands when stickhandling","Balance, and rhythm needed for control; Change speeds – quick, slow, quick",[],Unknown,Unknown,[],"['Skating', 'Stickhandling']",Intermediate
SKATING - ALTERNATING FEET EDGE CONTROL 02,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_alternating_feet_edge_control_02.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start on any line on the ice. Skate forward, glide on one skate.; Pivot to backwards on the same skate, then open hips and step forward with opposite skate to glide forward again.; Repeat alternating each leg.","Stay in control, stick out in front and on ice; Bend knees and unweight to pivot front to back on same skate",[],All Zones,All Zones,[],['Skating'],Intermediate
SKATING - FIGURE 8 EDGE CONTROL,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_figure_8_edge_control.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place two pucks about 10 feet apart.; Player skates in a figure 8 pattern around the pucks.; Skate to the pylon on the outside edge of the inside foot, and spin on the same foot away from the pylon so the exit of the turn is on the inside edge",Perform at a speed you are comfortable with; Stick out in front; Knees bent; Cary momentum into and out of turn,[],Unknown,Unknown,[],['Skating'],Easy
SKATING - TRANSITION FIGURE 8,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_transition_figure_8.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Place two pucks 10 feet apart; Skate in a Figure 8 pattern toes up ice; Puck must go around pylons,Keep square and balanced; Head up and control the puck,[],Unknown,Unknown,['Transition'],['Skating'],Intermediate
SKATING - HALF CIRCLE LATERAL SKATING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_half_circle_lateral_skating.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"One defenseman will skate half circle with feet outside skating laterally. The other defenseman will skate facing him across the middle of the circle; First, skate and focus on lateral speed. Then go other way; Progression: player skating backwards laterally will skate with the puck and hand it off to other defenseman; Progression: players will skate the same pattern and will pass the puck the whole time, can use onetime passing","Good transition skating techniques; Head up, get the puck loaded, keep shoulders square; Quick feet, good balance",['Defence'],Unknown,Unknown,[],"['Skating', 'Passing']",Intermediate
SKATING – TOE ON PUCK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_toe_on_puck.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Start on blue line and place the toe of one skate on the puck,
    and use c-cuts with the other skate to propel across the ice.","Weight has to be on drive leg, too much weight on puck will
    cause skater to lose balance.; Change direction and use other leg on way back",[],Neutral Zone,Neutral Zone,[],['Skating'],Intermediate
SKATING – 2 FOOT STOP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_2_foot_stop.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start in corner. Skate forward to first pylon and
    perform a 2 foot stop. Skate forward to second pylon and
    perform a 2 foot stop in the other direction. Repeat at all
    pylons.","Ensure equal weight distributed on both feet; Unweight, extend legs and then flex knees as feet are turning
    to perform the stop",[],Unknown,Unknown,[],['Skating'],Easy
SKATING – TIGHT TURNS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_tight_turns.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place pylons as shown in the drill diagram ( can be done
    anywhere on the ice ); Players start by skating to far pylon, tight turn around far
    pylon, weave back through, tight turn at near pylon weave
    back through to far pylon for one more tight turn.","Head, shoulders, hips, skates around pylon; Try to keep weight off of heels of skates to prevent
    slowing down",[],All Zones,All Zones,[],['Skating'],Intermediate
SKATING – TRANSITION - HEELS FIRST,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_transition_heels_first.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players focus on heels first transition from forward to backward; This is used when containing the rush; Always pivot to the middle of the ice; Players are allowed one crossover after pivot then get into
    backward stride; On transition from backward to forward players “ride” and
    do not cross feet; On backward to forward pivot, lift the foot in the direction
    you are going and “load” the other foot","Players need to have a good knee bend for balance; Keep chest and toes up ice; Limit the crossing of the feet as much as possible; Players to keep their head up, shoulders back and toes up ice; Heels and hips first to turn",[],Unknown,Unknown,['Transition'],['Skating'],Intermediate
SKATING – TRANSITION - RIDE INSIDE EDGE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_transition_ride_inside_edge.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players focus on transition which allows an aggressive gap
    but also the possibility of containing; Players going left will ride the inside right foot edge and
    have the left foot ready to either continue a “toes first”
    approach or hop and shift to a backward skating contain
    approach. Players going right will ride the inside left foot
    edge and have the right foot ready; This approach allows defensemen to read and then react to
    the attacking player; On transition from backward to forward, players will do a
    single “cross under” step and go forward","Players need to have a good knee bend for balance; Keep chest and toes up ice; Limit the crossing of the feet as much as possible; Players to keep their head up, shoulders back and toes up ice; Toes may actually “turn in” as you begin the pivot",[],Unknown,Unknown,['Transition'],['Skating'],Intermediate
SKATING – TRANSITION - TOES FIRST,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating_transition_toes_first.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players focus on toes first transition from forwards to
    backwards; This is most often used when aggressively closing the gap; Players point toes, “unload” and then start backward stride; Players are allowed one (or none) crossover after pivot then
    get into backward stride; On transition from backward to forward, players “ride” and
    do not cross feet; On backward to forward pivot, lift the foot in the direction
    you are going and “load” the other foot","Players need to have a good knee bend for balance; Keep chest and toes up ice; Limit the crossing of the feet as much as possible; Players to keep their head up, shoulders back and toes up ice; In shifting from forward to backward, “unload” your weight
    before skating backwards",[],Unknown,Unknown,['Transition'],['Skating'],Intermediate
PUCK CONTROL - WARM-UP 02 - RANDOM OBSTACLES,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_warm_up_02_random_obstacles.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines on the hashmarks; Place lots of pucks randomly down the centre of the ice; Both lines can go at the same time, or each line can alternate, skating down the middle to the far end and back along the boards.; Perform each skill as shown.",Technique is important in this warm-up to give the players lots of repetition on technical aspects of puck control.; Encourage creativity and quick hands,[],Neutral Zone,Neutral Zone,[],"['Skating', 'Stickhandling']",Easy
PUCK CONTROL - WARM-UP 03 - PUCK DOTS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_warm_up_03_puck_dots.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines on the hashmarks; Place pucks or pylons in a straight line down the ice (1 or 2 rows); Both lines can go at the same time, or each line can alternate, skating down the middle to the far end and back along the boards.; Perform each skill as shown.",Technique is important in this warm-up set up – using lots of pucks enable the players to practice the same move multiple times.,[],Neutral Zone,Neutral Zone,[],"['Skating', 'Stickhandling']",Easy
PUCK CONTROL - WARM-UP 04 - OBSTACLES,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_warm_up_04_obstacles.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players in one end in two lines at the hash marks; Place obstacle down the middle of the ice; Alternate lines performing the skills as shown avoiding the obstacles with a variety of moves,Use this as a progression from the previous warm-ups to add variety and increased difficulty,[],Offensive Zone,Offensive Zone,[],['Stickhandling'],Intermediate
PUCK CONTROL - HALF ICE WARM-UP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck_control_half_ice_warm_up.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players in each corner.; Place pylons in a row on each side of the ice from the red line back to the dot on the circles.; Players skate out of the corner into the neutral zone and around the pylon on the opposite side of the ice and put moves on each pylon finishing with a shot.,Quick feet out of corner; Different move on each pylon; Can add a chaser,[],Unknown,Unknown,[],"['Skating', 'Stickhandling', 'Shooting']",Intermediate
